,Row,Column,pixel[1],pixel[2],pixel[3],pixel[4],pixel[5],pixel[6],pixel[7],pixel[8],pixel[9],pixel[10],pixel[11],pixel[12],pixel[13],pixel[14],pixel[15],pixel[16],pixel_mean
80,1,32,255,253,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.8125
81,1,33,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
82,1,34,255,255,255,253,255,255,255,255,255,255,255,255,255,255,255,255,254.875
83,1,35,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
84,1,36,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
85,1,37,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
86,1,38,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
87,1,39,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
88,1,40,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
89,1,41,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
90,1,42,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
91,1,43,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
92,1,44,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
93,1,45,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
94,1,46,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
95,1,47,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
96,2,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
97,2,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
98,2,2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
99,2,3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
100,2,4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
101,2,5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
102,2,6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
103,2,7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
104,2,8,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
105,2,9,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
106,2,10,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
107,2,11,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
108,2,12,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
